id_cliente,nome,idade,genero,endereco,numero_contato,data_cadastro,tipo_cliente
P241,Emily Brown,29,F,23939 Cedar St,555-7890,2024-08-28,D008
P242,Frankie Adams,50,M,24040 Elm St,555-8901,2024-08-29,D005
P243,Grace Scott,35,F,24141 Oak St,555-9012,2024-08-30,D009
P244,Henry Johnson,46,M,24242 Pine St,555-0123,2024-08-31,D001
P245,Isabella Brown,52,F,24343 Maple St,555-1234,2024-09-01,D010
P246,Jack Harris,29,M,24444 Birch St,555-2345,2024-09-02,D007
P247,Kimberly Lee,43,F,24545 Cedar St,555-3456,2024-09-03,D002
P248,Liam Scott,50,M,24646 Elm St,555-4567,2024-09-04,D003
P249,Maria Adams,30,F,24747 Oak St,555-5678,2024-09-05,D006
P250,Nathan Johnson,34,M,24848 Pine St,555-6789,2024-09-06,D008
P251,Olivia Lee,46,F,24949 Maple St,555-7890,2024-09-07,D005
P252,Patrick Scott,30,M,25050 Birch St,555-8901,2024-09-08,D009
P253,Quinn Johnson,41,F,25151 Cedar St,555-9012,2024-09-09,D001
P254,Rachel Adams,50,M,25252 Elm St,555-0123,2024-09-10,D010
P255,Samuel Brown,29,F,25353 Oak St,555-1234,2024-09-11,D004
P256,Tiffany Harris,46,M,25454 Pine St,555-2345,2024-09-12,D007
P257,Uriel Scott,37,F,25555 Maple St,555-3456,2024-09-13,D002
P258,Vanessa Lee,50,M,25656 Birch St,555-4567,2024-09-14,D003
P259,William Johnson,34,F,25757 Cedar St,555-5678,2024-09-15,D005
P260,Xena Brown,39,M,25858 Elm St,555-6789,2024-09-16,D008
P261,Yvonne Adams,52,F,25959 Oak St,555-7890,2024-09-17,D009
P262,Zachary Harris,30,M,26060 Pine St,555-8901,2024-09-18,D010
P263,Alice Scott,44,F,26161 Maple St,555-9012,2024-09-19,D001
P264,Benjamin Lee,50,M,26262 Birch St,555-0123,2024-09-20,D007
P265,Catherine Johnson,29,F,26363 Cedar St,555-1234,2024-09-21,D002
P266,Daniel Brown,46,M,26464 Elm St,555-2345,2024-09-22,D004
P267,Emily Adams,33,F,26565 Oak St,555-3456,2024-09-23,D009
P268,Frankie Scott,48,M,26666 Pine St,555-4567,2024-09-24,D003
P269,Grace Harris,50,F,26767 Maple St,555-5678,2024-09-25,D006
P270,Henry Lee,30,M,26868 Birch St,555-6789,2024-09-26,D010
P271,Isabella Adams,46,F,26969 Cedar St,555-7890,2024-09-27,D008
P272,Jack Brown,34,M,27070 Elm St,555-8901,2024-09-28,D005
P273,Kimberly Johnson,50,F,27171 Oak St,555-9012,2024-09-29,D007
P274,Liam Scott,29,M,27272 Pine St,555-0123,2024-09-30,D002
P275,Maria Lee,41,F,27373 Maple St,555-1234,2024-10-01,D009
P276,Nathan Adams,46,M,27474 Birch St,555-2345,2024-10-02,D001
P277,Olivia Harris,50,F,27575 Cedar St,555-3456,2024-10-03,D010
P278,Patrick Johnson,29,M,27676 Elm St,555-4567,2024-10-04,D003
P279,Quinn Scott,41,F,27777 Oak St,555-5678,2024-10-05,D004
P280,Rachel Brown,34,F,27878 Pine St,555-6789,2024-10-06,D008
P281,Samuel Lee,52,M,27979 Maple St,555-7890,2024-10-07,D005
P282,Tiffany Adams,46,F,28080 Birch St,555-8901,2024-10-08,D007
P283,Uriel Harris,30,M,28181 Cedar St,555-9012,2024-10-09,D006
P284,Vanessa Brown,50,F,28282 Elm St,555-0123,2024-10-10,D002
P285,William Johnson,29,M,28383 Oak St,555-1234,2024-10-11,D009
P286,Xena Scott,44,F,28484 Pine St,555-2345,2024-10-12,D010
P287,Yvonne Lee,37,M,28585 Maple St,555-3456,2024-10-13,D001
P288,Zachary Adams,50,F,28686 Birch St,555-4567,2024-10-14,D004
P289,Alice Johnson,34,M,28787 Cedar St,555-5678,2024-10-15,D007
P290,Benjamin Harris,29,F,28888 Elm St,555-6789,2024-10-16,D005
P291,Catherine Lee,41,M,28989 Oak St,555-7890,2024-10-17,D008
P292,Daniel Adams,50,F,29090 Pine St,555-8901,2024-10-18,D009
P293,Emily Brown,33,M,29191 Maple St,555-9012,2024-10-19,D010
P294,Frankie Scott,46,F,29292 Birch St,555-0123,2024-10-20,D003
P295,Grace Johnson,48,M,29393 Cedar St,555-1234,2024-10-21,D002
P296,Henry Harris,29,F,29494 Elm St,555-2345,2024-10-22,D007
P297,Isabella Adams,50,M,29595 Oak St,555-3456,2024-10-23,D010
P298,Jack Brown,34,F,29696 Pine St,555-4567,2024-10-24,D005
P299,Kimberly Scott,41,M,29797 Maple St,555-5678,2024-10-25,D008
P300,Liam Lee,29,F,29898 Birch St,555-6789,2024-10-26,D001
P301,Maria Harris,44,F,29999 Cedar St,555-7890,2024-10-27,D009
P302,Nathan Scott,52,M,30000 Elm St,555-8901,2024-10-28,D003
P303,Olivia Adams,34,F,30101 Oak St,555-9012,2024-10-29,D006
P304,Patrick Johnson,29,M,30202 Pine St,555-0123,2024-10-30,D007
P305,Quinn Brown,50,F,30303 Maple St,555-1234,2024-10-31,D010
P306,Rachel Lee,46,M,30404 Birch St,555-2345,2024-11-01,D004
P307,Samuel Adams,30,F,30505 Cedar St,555-3456,2024-11-02,D005
P308,Tiffany Scott,37,M,30606 Elm St,555-4567,2024-11-03,D009
P309,Uriel Harris,50,F,30707 Oak St,555-5678,2024-11-04,D003
P310,Vanessa Johnson,41,M,30808 Pine St,555-6789,2024-11-05,D001
P311,William Brown,29,F,30909 Maple St,555-7890,2024-11-06,D008
P312,Xena Lee,46,M,31010 Birch St,555-8901,2024-11-07,D007
P313,Yvonne Adams,34,F,31111 Cedar St,555-9012,2024-11-08,D010
P314,Zachary Scott,50,M,31212 Elm St,555-0123,2024-11-09,D002
P315,Alice Johnson,29,F,31313 Oak St,555-1234,2024-11-10,D006
P316,Benjamin Harris,43,M,31414 Pine St,555-2345,2024-11-11,D009
P317,Catherine Brown,46,F,31515 Maple St,555-3456,2024-11-12,D005
P318,Daniel Scott,37,M,31616 Birch St,555-4567,2024-11-13,D001
P319,Emily Lee,50,F,31717 Cedar St,555-5678,2024-11-14,D004
P320,Frankie Adams,30,M,31818 Elm St,555-6789,2024-11-15,D007
P321,Grace Johnson,34,F,31919 Oak St,555-7890,2024-11-16,D010
P322,Henry Harris,41,M,32020 Pine St,555-8901,2024-11-17,D003
P323,Isabella Brown,50,F,32121 Maple St,555-9012,2024-11-18,D008
P324,Jack Scott,29,M,32222 Birch St,555-0123,2024-11-19,D002
P325,Kimberly Adams,46,F,32323 Cedar St,555-1234,2024-11-20,D009
P326,Liam Johnson,52,M,32424 Elm St,555-2345,2024-11-21,D005
P327,Maria Scott,30,F,32525 Oak St,555-3456,2024-11-22,D010
P328,Nathan Brown,34,M,32626 Pine St,555-4567,2024-11-23,D001
P329,Olivia Adams,50,F,32727 Maple St,555-5678,2024-11-24,D004
P330,Patrick Lee,29,M,32828 Birch St,555-6789,2024-11-25,D007
P331,Quinn Harris,46,F,32929 Cedar St,555-7890,2024-11-26,D003
P332,Rachel Scott,37,M,33030 Elm St,555-8901,2024-11-27,D006
P333,Samuel Johnson,50,F,33131 Oak St,555-9012,2024-11-28,D008
P334,Tiffany Adams,29,M,33232 Pine St,555-0123,2024-11-29,D002
P335,Uriel Lee,41,F,33333 Maple St,555-1234,2024-11-30,D009
P336,Vanessa Brown,34,M,33434 Birch St,555-2345,2024-12-01,D010
P337,William Scott,46,F,33535 Cedar St,555-3456,2024-12-02,D001
P338,Xena Harris,50,M,33636 Elm St,555-4567,2024-12-03,D007
P339,Yvonne Johnson,30,F,33737 Oak St,555-5678,2024-12-04,D005
P340,Zachary Lee,43,M,33838 Pine St,555-6789,2024-12-05,D003
P341,Alice Adams,50,F,33939 Maple St,555-7890,2024-12-06,D004
P342,Benjamin Scott,29,M,34040 Birch St,555-8901,2024-12-07,D008
P343,Catherine Johnson,34,F,34141 Cedar St,555-9012,2024-12-08,D010
P344,Daniel Brown,46,M,34242 Elm St,555-0123,2024-12-09,D006
P345,Emily Harris,37,F,34343 Oak St,555-1234,2024-12-10,D009
P346,Frankie Adams,50,M,34444 Pine St,555-2345,2024-12-11,D002
P347,Grace Johnson,30,F,34545 Maple St,555-3456,2024-12-12,D005
P348,Henry Scott,52,M,34646 Birch St,555-4567,2024-12-13,D010
P349,Isabella Brown,29,F,34747 Cedar St,555-5678,2024-12-14,D001
P350,Jack Harris,41,M,34848 Elm St,555-6789,2024-12-15,D007
P351,Kimberly Scott,50,F,34949 Oak St,555-7890,2024-12-16,D004
P352,Liam Lee,29,M,35050 Pine St,555-8901,2024-12-17,D002
P353,Maria Johnson,34,F,35151 Maple St,555-9012,2024-12-18,D003
P354,Nathan Adams,46,M,35252 Birch St,555-0123,2024-12-19,D009
P355,Olivia Brown,30,F,35353 Cedar St,555-1234,2024-12-20,D006
P356,Patrick Harris,41,M,35454 Elm St,555-2345,2024-12-21,D008
P357,Quinn Lee,50,F,35555 Oak St,555-3456,2024-12-22,D010
P358,Rachel Scott,29,M,35656 Pine St,555-4567,2024-12-23,D001
P359,Samuel Adams,46,F,35757 Maple St,555-5678,2024-12-24,D001
P360,Tiffany Johnson,34,M,35858 Birch St,555-6789,2024-12-25,D001
P361,Uriel Brown,50,F,35959 Cedar St,555-7890,2024-12-26,D002
P362,Vanessa Scott,29,M,36060 Elm St,555-8901,2024-12-27,D003
P363,William Harris,41,F,36161 Oak St,555-9012,2024-12-28,D004
P364,Xena Adams,30,M,36262 Pine St,555-0123,2024-12-29,D005
P365,Yvonne Johnson,46,F,36363 Maple St,555-1234,2024-12-30,D006
P366,Zachary Scott,50,M,36464 Birch St,555-2345,2024-12-31,D007
P367,Alice Brown,29,F,36565 Cedar St,555-3456,2025-01-01,D008
P368,Benjamin Harris,34,M,36666 Elm St,555-4567,2025-01-02,D009
P369,Catherine Adams,46,F,36767 Oak St,555-5678,2025-01-03,D010
P370,Daniel Scott,30,M,36868 Pine St,555-6789,2025-01-04,D003
P371,Emily Johnson,50,F,36969 Maple St,555-7890,2025-01-05,D007
P372,Frankie Lee,29,M,37070 Birch St,555-8901,2025-01-06,D002
P373,Grace Adams,41,F,37171 Cedar St,555-9012,2025-01-07,D009
P374,Henry Brown,34,M,37272 Elm St,555-0123,2025-01-08,D001
P375,Isabella Scott,50,F,37373 Oak St,555-1234,2025-01-09,D010
P376,Jack Harris,29,M,37474 Pine St,555-2345,2025-01-10,D008
P377,Kimberly Adams,41,F,37575 Maple St,555-3456,2025-01-11,D004
P378,Liam Brown,46,M,37676 Birch St,555-4567,2025-01-12,D006
P379,Maria Scott,50,F,37777 Cedar St,555-5678,2025-01-13,D005
P380,Nathan Lee,30,M,37878 Elm St,555-6789,2025-01-14,D007
P381,Olivia Johnson,34,F,37979 Oak St,555-7890,2025-01-15,D002
P382,Patrick Adams,46,M,38080 Pine St,555-8901,2025-01-16,D009
P383,Quinn Harris,50,F,38181 Maple St,555-9012,2025-01-17,D010
P384,Rachel Brown,29,M,38282 Birch St,555-0123,2025-01-18,D001
P385,Samuel Scott,41,F,38383 Cedar St,555-1234,2025-01-19,D003
P386,Tiffany Lee,30,M,38484 Elm St,555-2345,2025-01-20,D006
P387,Uriel Adams,46,F,38585 Oak St,555-3456,2025-01-21,D008
P388,Vanessa Johnson,50,M,38686 Pine St,555-4567,2025-01-22,D004
P389,William Scott,29,F,38787 Maple St,555-5678,2025-01-23,D007
P390,Xena Brown,34,M,38888 Birch St,555-6789,2025-01-24,D005
P391,Yvonne Harris,46,F,38989 Cedar St,555-7890,2025-01-25,D009
P392,Zachary Lee,50,M,39090 Elm St,555-8901,2025-01-26,D010
P393,Alice Adams,29,F,39191 Oak St,555-9012,2025-01-27,D002
P394,Benjamin Brown,34,M,39292 Pine St,555-0123,2025-01-28,D003
P395,Catherine Scott,46,F,39393 Maple St,555-1234,2025-01-29,D001
P396,Daniel Harris,30,M,39494 Birch St,555-2345,2025-01-30,D007
P397,Emily Johnson,50,F,39595 Cedar St,555-3456,2025-01-31,D006
P398,Frankie Adams,29,M,39696 Elm St,555-4567,2025-02-01,D010
P399,Grace Scott,41,F,39797 Oak St,555-5678,2025-02-02,D004
P400,Henry Lee,34,M,39898 Pine St,555-6789,2025-02-03,D008
